"Proyecto","Estado","ExitCode","Script","Log"
"esc1-ind-claude-r1","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-claude-r1\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-claude-r1.log"
"esc1-ind-claude-r2","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-claude-r2\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-claude-r2.log"
"esc1-ind-claude-r3","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-claude-r3\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-claude-r3.log"
"esc1-ind-claude-r4","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-claude-r4\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-claude-r4.log"
"esc1-ind-claude-r5","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-claude-r5\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-claude-r5.log"
"esc1-ind-gemini-r1","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gemini-r1\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gemini-r1.log"
"esc1-ind-gemini-r2","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gemini-r2\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gemini-r2.log"
"esc1-ind-gemini-r3","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gemini-r3\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gemini-r3.log"
"esc1-ind-gemini-r4","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gemini-r4\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gemini-r4.log"
"esc1-ind-gemini-r5","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gemini-r5\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gemini-r5.log"
"esc1-ind-gpt-r1","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gpt-r1\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gpt-r1.log"
"esc1-ind-gpt-r2","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gpt-r2\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gpt-r2.log"
"esc1-ind-gpt-r3","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gpt-r3\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gpt-r3.log"
"esc1-ind-gpt-r4","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gpt-r4\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gpt-r4.log"
"esc1-ind-gpt-r5","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-gpt-r5\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-gpt-r5.log"
"esc1-ind-grok-r1","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-grok-r1\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-grok-r1.log"
"esc1-ind-grok-r2","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-grok-r2\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-grok-r2.log"
"esc1-ind-grok-r3","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-ind-grok-r3\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-ind-grok-r3.log"
